FECHA,ID_EXTERNO,NOMBRE,ALBUM,BANDA,ARTISTA,DURACION,GENERO,SUBGENERO,BANDAS_SIMILARES,TAGS,INSTRUMENTOS
05/19/20 08:54PM,77,Intuitive human-resource software,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,1:51,Hip Hop,None,Austin Perry; Kimberly Salazar; Stephen Bean; Charles Koch; James Short,Upbeat; Tense; Dramatic; Intense; Suspense; Epic,Strings; Brass; Synth Bass; Synthesizer; Electronic Drums; Keyboards; Piano; Shakers Maracas; Sound Effects; Percussion
05/21/20 11:17AM,78,Cross-platform neutral leverage,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,1:28,R&B,Contemporary,Kristie Whitaker; David Hopkins; Melissa Robinson; Patricia Nelson; Breanna Perry,Chill; Mellow; Night; kickback; Drive; Rhythmic,Percussion; Synthesizer
05/21/20 02:05PM,79,Mandatory coherent portal,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,1:26,Orchestral,Bed,Angela Garner; Dana Richards; Carol Jacobs; Curtis Webb; Alexa Williams,Intense; Suspense; Tension; Dark; Brooding; Build Up; Dramatic,Cello; Viola; Upright Bass; Drums; Timpani; Cymbals; Percussion; Synth Bass; Brass
05/21/20 07:01PM,80,Configurable clear-thinking portal,Gris gainsboro (Estaño),Otilia Genoveva Arranz Nogués,Lourdes Jurado Luz,1:34,R&B,Neo-soul,Amber Velez; Kimberly Tran; Lisa Obrien; Danielle Martin; Gary Yu,Chill; Sexy; 90s; Feel Good; Good Vibes; Sensual,Flute; Drums; Synthesizer; Electric Piano; Tambourine; Percussion; Chimes; Bass Guitar
05/21/20 07:44PM,81,Digitized national secured line,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:57,Dark Orchestral,None,Tracy Reed; Donald Adams; Katie Ochoa; Kirk Jackson; Justin Martin,Dramatic; Epic; Huge; Intense; Suspense; Stress,Brass; Synthesizer; Electronic Drums; Percussion; Drums; Sound Effects
05/22/20 06:44PM,82,Quality-focused dynamic contingency,Rojo oscuro,Reyes Collado-Ferrera,Eusebia Colom Valcárcel,2:06,Orchestral,Film Score,Brandy Wilson; Chad Murray; Megan Garrett; Sarah Sanchez; Joshua Collins,Dramatic; Intense; Suspense; Build Up; Epic; Tension,Strings; Percussion; Synth Pad
05/26/20 09:02PM,83,Progressive tertiary website,Marrón cuero,Juan Carlos Adadia,Leslie Beck,2:04,Electronica,Club Dance,Jacqueline Rivera; Robin Hill; Sara Rogers; Susan Spencer; Lisa Hurley,Upbeat; Dance; Fun; Playful; Intense; Club,Bass Guitar; Brass; Synth Bass; Synthesizer; Electronic Drums; Piano; Electric Piano; Sound Effects; Shakers Maracas; Percussion
05/27/20 02:51PM,84,Upgradable motivating product,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,2:00,Hip Hop,Modern,Arthur Fleming; Chelsea Gomez; Jake Christian; John Harding; Darryl Smith,Dramatic; Anthemic; Building; Determined; Band; Tense,Brass Section; Electronic Drums; Piano; Keyboards; Sound Effects; Synth Bass; Synthesizer; Percussion
05/27/20 03:01PM,85,Enhanced mobile implementation,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:34,Hip Hop,Modern,Brenda Mccoy; Gregory Bennett; Calvin Benjamin; Shannon Mccall; Jennifer Mclaughlin,Anthemic; Determined; Trap; Building; Battle; Tension,Electronic Drums; Synth Bass; Synthesizer; Piano; Percussion
05/27/20 04:28PM,86,Organized 24/7 interface,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:29,Hip Hop,Modern,  ,Modern; Hip Hop; Sample; Laidback; Anthemic; Building; Driving,Flute; Horns; Organ; Strings; Synth Bass; Electronic Drums; Synthesizer; Percussion
05/28/20 05:41PM,87,Switchable responsive task-force,Rojo oscuro,Reyes Collado-Ferrera,Eusebia Colom Valcárcel,1:45,Pop,Electronic,Kristine Hurley; Brenda Anderson; Michael Baker; Jacqueline Jensen; Mary James,Upbeat; Chill; Smoking; Relaxed; Good Vibes; Night drive,Synth Bass; Synth Pad; Synthesizer; Electric Guitar; Electric Piano; Electronic Drums; Percussion
05/28/20 06:02PM,88,Expanded intermediate budgetary management,Rojo oscuro,Reyes Collado-Ferrera,Eusebia Colom Valcárcel,2:08,Electronica,Club Dance,  ,Upbeat; Party; Dance; Feel Good; edm; Drinking; Workout,Steel Drums; Synth Bass; Synth Pad; Synthesizer; Electronic Drums; Shakers Maracas; Sound Effects; Percussion
05/28/20 06:03PM,89,Centralized next generation website,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:37,Hip Hop,Modern,Andrew Garcia; Thomas Hudson; Jerry Huffman Jr.; Lisa Wilson; Victoria Richards,Laidback; alternate; Determined; Anthemic; Electronic; Switch,Electronic Drums; Synth Bass; Horns; Synthesizer; Percussion
05/28/20 06:58PM,90,Multi-channeled mission-critical challenge,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,1:40,Hip Hop,Modern,Joseph Scott; Robin Lewis; Kelsey Warner; Joshua Alvarado; Brian Porter,Anthemic; Trap; Rhythmic; Synth; Sound Effects; Dramatic,Synth Bass; Electronic Drums; Sound Effects; Cymbals; Synthesizer; Synth Pad; Percussion
05/28/20 08:03PM,91,Persistent stable secured line,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,2:00,Country,Pop,Selena Green; Brandy Miller; Laura Stokes; Randy Moore; Brandy Rivera,Beach; Fun; Relaxed; Beer; Summer; Feel Good,Acoustic Guitar; Bass Guitar; Electric Guitar; Slide Guitar; Electric Piano; Electronic Drums; Drums; Tambourine; Percussion
05/28/20 08:21PM,92,Sharable full-range Graphic Interface,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,1:46,Latin,Pop,Lisa Parker; Sarah Bowman; Scott Williams; Judith Shea; Rachel Mccullough,Romantic; Sensual; Upbeat; Fun; Latin; Dance,Acoustic Guitar; Synth Bass; Synth Pad; Piano; Electronic Drums; Bongos; Shakers Maracas; Percussion
05/29/20 02:30PM,93,Assimilated fresh-thinking collaboration,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,1:47,Hip Hop,Modern,Lindsey Barker; Mark Moore; Deborah Johnson; Jessica Campbell; Dylan Miller,Sample; Chill; warm; Trap; Beginning; Morning,Percussion; Drums; Electric Piano; Piano; Electronic Drums; Synth Bass; Synth Pad; Synthesizer; Turntables; Sound Effects; Hand Drums; Cymbals; Shakers Maracas; Flute
05/29/20 04:33PM,94,Organized well-modulated contingency,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:52,Orchestral,Bed,Debbie Larsen; Steven Clark; Elizabeth Green; David Baker; Kenneth Le,Dark; Brooding; Intense; Mysterious; Suspense; Tension,Strings; Upright Bass; Drums; Electronic Drums; Shakers Maracas; Violin; Synthesizer; Synth Pad; Cymbals; Sound Effects; Percussion
05/29/20 04:38PM,95,Focused context-sensitive approach,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,1:48,Orchestral,Bed,Zachary Kelly; Leroy Rodriguez; Natalie Garcia; Cindy Lopez; James Mitchell,Intense; Tension; Epic; Powerful; Dramatic; Suspense,Synth Bass; Synthesizer; Strings; Percussion; Cymbals; Timpani
05/29/20 05:22PM,96,Switchable intermediate throughput,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:46,Latin,Pop,Scott Tucker; Scott Sanchez; Thomas Mann DDS; Alexis Coleman; Michael Moyer,Latin; Sensual; Romantic; Happy; Feel Good; Dance,Acoustic Guitar; Piano; Strings; Synth Bass; Electronic Drums; Synth Pad; Shakers Maracas; Bongos; Percussion
05/29/20 06:46PM,97,Virtual methodical challenge,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,1:36,Orchestral,Film Score,  ,Upbeat; Dramatic; Intense; Suspense; Scary; Mysterious,Synth Pad; Percussion; Strings
06/01/20 05:01PM,98,Reactive client-server initiative,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,1:48,Latin,Pop,Victoria Dudley; Lori Howard; Kelsey Warner; David Price; Jason Avila,Upbeat; Romantic; Love; Sensual; reflective; Emotional,Synth Bass; Synth Pad; Cymbals; Electronic Drums; Shakers Maracas; Bongos; Synthesizer; Percussion
06/01/20 07:16PM,99,Team-oriented heuristic service-desk,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:44,Latin,Pop,Lindsay Silva; Danielle Martin; Richard Ward; Maria Dean; Michael Hayes,Upbeat; Dance; Latin; Fun; Club; Party; Couple,Piano; Synth Pad; Synth Bass; Electronic Drums; Acoustic Guitar; Shakers Maracas; Bongos; Percussion
06/03/20 05:31PM,100,Reactive maximized neural-net,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,2:00,Country,Pop,Richard Byrd; Margaret Powell; Gabriel Lane PhD; Erica Lee; James Hernandez,Upbeat; Feel Good; Summer; Chill; Good Vibes; Relaxed,Electric Guitar; Electric Piano; Electronic Drums; Acoustic Guitar; Bass Guitar; Piano; Tambourine; Percussion
06/04/20 03:21PM,101,Virtual holistic structure,Gris,Eligia Llamas Menendez,Breanna Russell,1:37,Latin,Pop,Tiffany Stewart; Kelly Wilson; Derek Moore; Jeffrey Baker; Gregory Ryan,Upbeat; Romantic; Sensual; Couple; Dance; Night; Relaxed,Electric Guitar; Electronic Drums; Shakers Maracas; Bongos; Synth Bass; Piano; Synth Pad; Sound Effects; Percussion
06/05/20 01:51PM,102,Switchable optimizing definition,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,1:48,Orchestral,Bed,Brian Hoffman; Vicki Rocha; Donald Adams; Lisa King; Cassidy Ferguson,Upbeat; Dramatic; Epic; Tension; Suspense; Uncertain,Synth Bass; Synthesizer; Strings; Percussion; Cymbals; Electronic Drums
06/05/20 04:22PM,103,Multi-channeled zero tolerance utilization,Marrón cuero,Juan Carlos Adadia,Bibiana Pinilla,1:52,Hip Hop,None,Brenda Anderson; Angel Murphy; David Miller; Michael Peterson; Kyle Henry,Upbeat; Intense; Dramatic; Trap; Tense; Epic,Sound Effects; Strings; Synth Bass; Piano; Electronic Drums; Percussion; Brass; Shakers Maracas
06/05/20 07:44PM,104,Seamless 5thgeneration Graphic Interface,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,1:36,Latin,Pop,Charlotte Adams; Amy Mcdonald; Jason Boyd; Amber Coleman; Laura Thompson,Latin; Upbeat; Dance; Romantic; Sensual; Couple,Synth Bass; Electric Guitar; Piano; Tambourine; Drums; Triangle; Shakers Maracas; Electronic Drums; Percussion
06/08/20 05:18PM,105,Team-oriented client-driven access,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:34,Hip Hop,Modern,Logan Smith; Kristina Jones; Lisa Harris; Matthew Barker; Brenda Mccoy,Modern; Laid Back; Building; Dramatic; Anthemic; Determined,Electronic Drums; Mallets; Horns; Synth Bass; Synthesizer; Percussion
06/09/20 01:52PM,106,Centralized upward-trending parallelism,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,1:48,Orchestral,Bed,Heather Williams; Amber Davenport; James Reynolds; Douglas Atkinson; Stacey Peterson,Epic; Tense; Dramatic; Uncertain; Suspense; Anxious,Synthesizer; Synth Pad; Strings; Percussion; Timpani; Cymbals
06/09/20 03:13PM,107,Team-oriented zero-defect intranet,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,1:39,Pop,Rock,Breanna Perry; Robert Roberson; Elizabeth Lewis; Katherine Miller; Diane Mcdonald,Sweet; Heartfelt; Pop Country; Building; Good Vibes; Chill,Dobro; Acoustic Guitar; Electronic Drums; Electric Guitar; Shakers Maracas; Drums; Bass Guitar; Percussion
06/09/20 03:41PM,108,Down-sized coherent forecast,Marrón madera rústica,Claudio Albino Fabra Gual,Armando Galán,1:30,Country,Pop,Derek Barrett; Beth Walker; Deborah Howard; Gabrielle Murphy; Chloe Shelton,Upbeat; Happy; Quirky; Fun; Summer; Easy Listening,Electric Guitar; Banjo; Keyboards; Percussion
06/09/20 06:07PM,109,Managed dedicated service-desk,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,1:39,Pop,Rock,Stephen Kim; Crystal Meyers; Tonya Bartlett; Ronald Bell; Gabriella Reyes,Pop Country; Sweet; Home Sweet Home; Heartfelt; Feel Good; Happy,Acoustic Guitar; Electronic Drums; Drums; Shakers Maracas; Percussion; Synth Bass; Synthesizer; Slide Guitar; Synth Pad
06/10/20 11:07AM,110,Switchable radical database,Marrón madera rústica,Claudio Albino Fabra Gual,Armando Galán,1:47,Dark Orchestral,None,Fred Ashley; Jessica Hernandez; Justin Vaughn; Karen Young; Jennifer Mcdowell,Dark; Intense; Suspense; Tension; Mysterious; Uncertain,Strings; Percussion; Keyboards
06/10/20 02:15PM,111,Multi-tiered multi-state workforce,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,1:28,Country,Pop,Stacey Peterson; Jennifer Stewart; Angela Garcia,Upbeat; Country; Twang; Quirky; Fun; Summer; Beer,Banjo; Electric Guitar; Percussion
06/10/20 03:31PM,112,Extended exuding toolset,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,1:34,R&B,Contemporary,Natalie Garcia; Cristina Townsend; Sonya Kim; Traci Bell; Holly Ward,Upbeat; Rhythmic; Chill; Dance; kickback; Feel Good; Night drive,Electric Piano; Electronic Drums; Rhodes; Synth Pad; Bass Guitar; Shakers Maracas; Synthesizer; Percussion
06/10/20 04:39PM,113,Cross-group homogeneous project,Gris gainsboro (Estaño),Otilia Genoveva Arranz Nogués,Lourdes Jurado Luz,1:45,Dark Orchestral,None,Eric Cohen; Veronica Wagner; Carol Marshall; Zachary Ferguson; Gregory Cobb,Dark; Intense; Suspense; Mysterious; Brooding; Uncertain,Synthesizer; Piano; Strings; Percussion
06/10/20 08:02PM,114,Future-proofed didactic flexibility,Gris gainsboro (Estaño),Otilia Genoveva Arranz Nogués,Leah Chaney,2:11,Pop,Dance,James Morales; Samuel Murray; Christine Ross; Susan Jensen; Michael Le,active; Workout; Upbeat; Dance; Party; Fun,Bass Guitar; Synth Bass; Synthesizer; Piano; Shakers Maracas; Electric Guitar; Electronic Drums; Rhodes; Drums; Percussion
06/10/20 08:56PM,115,Realigned analyzing complexity,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,1:50,R&B,Neo-soul,Keith Rodriguez; Derek Barrett; Lisa Harris; Christine Lang; Richard Baker,Upbeat; Chill; Rhythmic; Sensual; Romantic; Night,Bass Guitar; Drums; Electronic Drums; Piano; Synth Pad; Synthesizer; Acoustic Guitar; Strings; Percussion
06/11/20 11:52AM,116,Front-line full-range encoding,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,1:46,World,Other,David Miller; Olivia Ross; Jordan Jensen; April Wilson; Madeline Meyer,Upbeat; Latin; Romantic; Dance; Relaxed; Night,Strings; Percussion; Acoustic Guitar
06/11/20 12:14PM,117,Object-based heuristic algorithm,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:36,R&B,None,Alexa Williams; Lucas Gonzalez; Katie Murray; Crystal Gibson; Julia Perez,Upbeat; Feel Good; Sensual; Chill; Good Vibes; Night,Keyboards; Percussion; Synth Pad
06/11/20 12:45PM,118,Virtual explicit synergy,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:37,Country,Pop,Kimberly Anderson; William Massey; Philip Parker; Erica Levy; Rodney Barr,Upbeat; Fun; Feel Good; Summer; Love; Happy,Percussion; Acoustic Guitar; Synth Pad
06/11/20 01:15PM,119,Managed optimal support,Rojo oscuro,Reyes Collado-Ferrera,Dawn Cohen,1:33,Latin,Pop,Rebecca Ford; Zachary Bishop; Christian Villa; Sarah Johnson; Robert Herman,Upbeat; Party; Dance; Fun; Club; Summer; Beach,Keyboards; Percussion; Synth Pad
06/11/20 04:23PM,120,Exclusive disintermediate Local Area Network,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,1:29,Latin,Pop,Lori Frye; Dr. Cody Arnold; William Solis; David Roberts; Lisa Robertson,Upbeat; Good Vibes; Chill; Happy; Night; Romantic,Synth Pad; Synth Bass; Electronic Drums; Acoustic Guitar; Synthesizer; Cymbals; Shakers Maracas; Bongos; Percussion
06/11/20 06:20PM,121,Self-enabling zero administration concept,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,1:34,Orchestral,Film Score,Philip Campbell; Lisa Hurley; Jonathan Adams; Christopher Velasquez; Angela Velez,Intense; Suspense; Mysterious; Tension; Build Up; Epic,Synthesizer; Strings; Percussion
06/11/20 07:24PM,122,User-centric modular throughput,Gris gainsboro (Estaño),Otilia Genoveva Arranz Nogués,Lourdes Jurado Luz,1:51,Hip Hop,Modern,Gary Wolf; Tammy Young; David Miller; Justin Vaughn; Patricia Nelson,Upbeat; Dramatic; Epic; Suspenseful; Intense; Powerful,Strings; Brass; Electronic Drums; Synth Bass; Sound Effects; Piano; Shakers Maracas
06/11/20 08:02PM,123,Exclusive demand-driven complexity,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,2:14,Country,Pop,Sara Barrera; Bruce Grant; Kelly Ramirez; Mark Grimes; Seth Dominguez,Upbeat; Country; Twang; Fun; Summer; Happy,Electric Guitar; Drums; Bass Guitar; Synth Pad
06/12/20 03:51PM,124,Self-enabling client-driven task-force,Lima,Daniela Barrios Gilabert,Chus Gámez Ojeda,1:21,Country,Pop,Lisa Parker; Makayla Trevino; Crystal Meyers; Ryan Morris; Donald Adams,Upbeat; Happy; Dance; Feel Good; Summer; Good Vibes,Synth Pad; Electronic Drums; Electric Guitar; Keyboards
06/15/20 12:50PM,125,Enhanced object-oriented throughput,Azul Alicia,María Manuela Fortuny Trujillo,Benito Ibarra,2:28,Pop,Electronic,Carla Goodman; Jennifer Pitts; Tracy Reed; April Wilson; Kelsey Warner,Upbeat; edm; Rave; Electro Pop; Club; Happy; Workout,Synth Pad; Synthesizer; Electronic Drums
06/15/20 12:50PM,126,Robust analyzing archive,Gris gainsboro (Estaño),Otilia Genoveva Arranz Nogués,Lourdes Jurado Luz,2:28,Pop,Electronic,Larry Harrington; Ian Mcintyre; Jacqueline Reeves; Selena Green; Tiffany Stewart,Upbeat; edm; Rave; Electro Pop; Club; Happy; Workout,Synth Pad; Synthesizer; Electronic Drums
06/15/20 12:51PM,127,Fundamental fresh-thinking workforce,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,2:26,Pop,Electronic,  ,Upbeat; edm; Rave; Electro Pop; Club; Happy; Workout,Synth Pad; Synthesizer; Electronic Drums
06/15/20 08:46PM,128,Ameliorated dedicated definition,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,2:08,Pop,Electronic,Alexander Vaughn; Donald Lee; Lori Cunningham; Sara Mosley; Seth Lee,Upbeat; Summer; Beach; Good Vibes; Dance; Party,Synth Bass; Brass; Piano; Rhodes; Sound Effects; Synthesizer; Electronic Drums; Steel Drums; Keyboards
06/15/20 09:04PM,129,Customizable 24/7 protocol,Marrón madera rústica,Claudio Albino Fabra Gual,Armando Galán,1:52,Hip Hop,None,Ashley Simpson; Brittany Zamora; Bethany Kelly; Leslie Summers; April Carter,Upbeat; Spy; Quirky; Dynamic; Fun; Playful,Synth Bass; Synthesizer; Electronic Drums; Shakers Maracas; Bongos; Strings; Marimba; Vibraphone; Brass; Clarinet; Oboe
06/16/20 11:35AM,130,Future-proofed analyzing definition,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,1:33,Pop,Dance,Mark Hines; Jacob Park; Jacob Park; Brandon Wilkerson; Victor Pennington,Retrowave; High Energy; Disco Pop; Dance; Club; Fun; Workout; Upbeat,Synth Bass; Electronic Drums; Shakers Maracas; Drums; Synthesizer; Synth Pad
06/16/20 02:16PM,131,Upgradable local strategy,Violeta cardo,Maximiano Álvarez,Martin Calixto Carrasco Enríquez,1:19,Pop,Synth,Christina Carr; Richard Haynes; April Wilson; Rodney Brady; Victoria Richards,Synth Pop; Upbeat; Fun; Summer; Dance; Feel Good,Percussion; Shakers Maracas; Synthesizer; Synth Bass; Synth Pad; Sound Effects
06/16/20 03:39PM,132,Cloned tangible encryption,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,1:57,Pop,Electronic,Craig Rosales; Cassidy Ferguson; Juan Frye; Melanie Carey; Natalie Rose,bubblegum pop; Cute; Sweet; Love; Summer; Feel Good,Shakers Maracas; Synth Bass; Synthesizer; Drums; Electronic Drums; Synth Pad
06/16/20 07:47PM,133,Assimilated actuating product,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,1:46,Pop,Dance,Heather Marshall DVM; James Davis; Heidi Smith; Tammy Young; David Ramos,Upbeat; edm; Dance; Fun; Summer; Beach,Tambourine; Synth Bass; Synth Pad; Synthesizer; Piano; Electronic Drums; Steel Drums; Sound Effects; Shakers Maracas
06/17/20 02:01PM,134,Integrated composite structure,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,2:43,Latin,Reggaeton,Chelsea Thompson MD; Misty Chambers; Ronald Bell; Lori Parker; Maria Wilson,Dance; Latin; Party; Club; rhytmic; Reggaeton; Catchy,Synth Bass; Synthesizer; Piano; Steel Drums; Brass; Shakers Maracas; Bongos
06/17/20 06:36PM,135,Integrated dynamic access,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,1:31,Orchestral,Contemporary,  ,Upbeat; Good Vibes; Chill; Laid Back; kickback; Playful; Quirky,Electronic Drums; Upright Bass; Percussion; Shakers Maracas; Cello; Viola; Synth Bass; Xylophone
06/17/20 06:49PM,136,Cross-platform interactive utilization,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,1:50,Hip Hop,None,Matthew Pena; Patricia Marquez; Kimberly Salazar; Kimberly Forbes; Ellen Holland,,Bongos; Brass; Strings; Shakers Maracas; Wind Ensemble; Electronic Drums; Piano; Synth Bass; Marimba; Vibraphone
06/17/20 07:19PM,137,Ameliorated context-sensitive concept,Azul violeta,Ximena Company Doménech,Pascual Rubio Nebot,1:37,Hip Hop,Modern,Alison Smith; Cassidy Bates; Connie Davenport; Gary Delgado; James Harding,Upbeat; Dramatic; Spy; Fun; Quirky; Playful,Synth Bass; Electronic Drums; Piano; Wind Ensemble; Brass; Strings; Marimba; Vibraphone; Shakers Maracas; Mallets
06/17/20 08:51PM,138,De-engineered system-worthy benchmark,Azul cielo profundo,Angélica Uriarte Carrillo,Jordán Mármol Bilbao,1:46,Pop,Electronic,Justin Martin; Andrew Williams; Jerry Huffman Jr.; Jeff Holt; Dr. Jessica Parsons DDS,Upbeat; Party; Summer; Fun; Dance; Club; Beach,Synth Bass; Synthesizer; Steel Drums; Piano; Rhodes; Electronic Drums; Shakers Maracas; Sound Effects
06/18/20 01:30PM,139,Versatile local extranet,Oliva,Eleuterio de Alonso,Camila Herranz Zamorano,2:08,Reggae,Hip Hop,Brandy Ward; Kimberly Williams; Amber Collins; Lisa Romero; Zachary Dunn,Upbeat; Rhythmic; Chill; Good Vibes; kickback; Reggae; Dance,Synth Bass; Electronic Drums; Percussion; Synthesizer; Shakers Maracas; Cymbals; Drums
06/18/20 04:40PM,140,Compatible web-enabled hierarchy,Verde primavera,Haydée Jáuregui Jódar,Francisca Garzón Ojeda,1:44,Pop,Electronic,Lori Valdez; Andrew Garcia; Miss Kimberly Long; Robert Johnson; Tina Mcclain,Romantic; Upbeat; Fun; Tropical; Chill; Good Vibes; Relaxed,Mallets; Electronic Drums; Synth Bass; Synthesizer; Synth Pad; Shakers Maracas; Drums
06/18/20 04:52PM,141,Profound dedicated projection,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,2:09,Electronica,Club Dance,Leslie Summers; Shannon Gilbert; Jennifer Mclaughlin; James Morgan; Joshua Baker,Upbeat; Dance; Feel Good; Club; Party; edm,Synth Bass; Synthesizer; Electronic Drums; Electric Piano; Shakers Maracas; Sound Effects
06/18/20 07:21PM,142,Persevering value-added product,Naranja,Ignacio Lopez,Benigno Cornejo Castelló,1:13,Pop,None,Tammy Young; Susan Alvarado; Kayla Smith; Lisa Blevins; Cindy Avila,Upbeat; Cheer; Challenge; Rhythmic; Dance; Flow,Drums; Shakers Maracas; Hand Drums; Percussion; Timpani; Electronic Drums; Sound Effects
06/18/20 07:26PM,143,Quality-focused foreground open system,Rojo oscuro,Reyes Collado-Ferrera,Eusebia Colom Valcárcel,1:52,Orchestral,Marching Band,Patricia Nelson; Sandra Anderson; Raymond Tucker; Joseph Weiss; Alan Odom,Upbeat; Dance; Marching Band; Rhythm; percussion driven; edm; Club,Percussion; Shakers Maracas; Sound Effects; Drums; Electronic Drums; Marching Drums; Tambourine
06/18/20 07:39PM,144,Visionary zero tolerance policy,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,1:47,Hip Hop,Modern,Cody Lang; Ana Morgan; Katie Ochoa; Zachary Perez; John Gonzalez,Rhythmic; Catchy; kickback; Party; Smoking; Determined; Upbeat,Synth Bass; Synth Pad; Electronic Drums; Percussion; Keyboards
06/19/20 01:25PM,145,Automated modular knowledgebase,Azul cielo profundo,Angélica Uriarte Carrillo,Jessica Frey,2:07,Electronica,EDM,Kelsey Warner; Nicholas Briggs; William Massey; Shannon Mccall; Andrew Buchanan,Hardcore; Upbeat; Workout; Intense; edm; Dance,Synthesizer; Percussion
06/19/20 01:51PM,146,Focused regional protocol,Verde pálido,Cristóbal Cid Santamaria,Nayara Sarabia Coca,1:40,Electronica,EDM,Stacey Anderson; Ana Morgan; Jeffery Wood; Jennifer Stewart; Rhonda Davis,Upbeat; Party; Summer; Fun; Feel Good; Happy,Keyboards; Percussion; Synth Pad
06/19/20 02:08PM,147,Upgradable systematic task-force,Marrón madera rústica,Claudio Albino Fabra Gual,Armando Galán,1:36,Electronica,Club Dance,Kenneth Butler; Katrina Garrett; Richard Baker; Darren Hale; Tommy Bishop,Upbeat; Workout; Party; Dance; Feel Good; edm; Club,Synthesizer; Percussion
06/19/20 03:12PM,148,Persevering eco-centric intranet,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,1:44,Orchestral,Contemporary,Bethany Kelly; Brandon Wilkerson; Jessica Lamb; Michelle Chambers; Patrick Smith,Mischievous; Quirky; Playful; Upbeat; Fun; Mysterious,Strings; Percussion; Horns; Mallets
06/19/20 07:24PM,149,Integrated user-facing monitoring,Gris gainsboro (Estaño),Otilia Genoveva Arranz Nogués,Lourdes Jurado Luz,1:47,Pop,Electronic,Tammy Young; Matthew Burgess; Charles Armstrong; Joseph Weiss; Cheryl Chase,Upbeat; Dance; Fun; Good Vibes; Summer; Party,Keyboards; Percussion; Synth Pad
06/19/20 07:52PM,150,Reduced maximized attitude,Gris,Eligia Llamas Menendez,Seve Jordán-Anaya,1:33,Pop,None,Kathryn Davila; Lori Valdez; Joseph Miranda; Michael Velasquez; Stephanie Jordan,Happy; Upbeat; Feel Good; Chill; Good Vibes; Summer,Synth Pad; Percussion; Keyboards
06/22/20 02:48PM,151,Polarized contextually-based knowledgebase,Marrón madera rústica,Alfredo Ródenas Valderrama,Juan Cepeda,1:50,Hip Hop,None,Christine Morris; Gregory Cobb; Tyler Gray; Carol Parker DVM; Kari Parks,Upbeat; Rhythmic; Spy; Mysterious; Playful; Quirky,Synth Bass; Electronic Drums; Piano; Strings; Brass; Wind Ensemble; Glockenspiel; Marimba; Vibraphone; Shakers Maracas
